membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH2557	BCM_m84101_240925_190847_s2_A11...PacBio
BCM_Fam_BH16899	BCM_m84101_240925_210757_s3_A11...PacBio
BCM_Fam_BH16899	BCM_m84101_240925_230705_s4_A11...PacBio
BCM_Fam_BCM17304	BCM_m84101_240927_030113_s1_A11...PacBio
BCM_Fam_BCM17305	BCM_m84101_240927_050031_s2_A11...PacBio
BCM_Fam_BH17279	BCM_m84101_240927_065948_s3_A11...PacBio
BCM_Fam_BH17279	BCM_m84101_240927_085903_s4_A11...PacBio
BCM_Fam_BCM17290	BCM_m84101_240930_144850_s1_A11...PacBio
BCM_Fam_BCM17290	BCM_m84101_240930_164816_s2_A11...PacBio
BCM_Fam_BH17215	BCM_m84101_240930_184731_s3_A11...PacBio
BCM_Fam_BH17215	BCM_m84101_240930_204649_s4_A11...PacBio
BCM_Fam_BH16330	BCM_m84101_241002_043916_s3_A11...PacBio
BCM_Fam_BH16330	BCM_m84101_241002_063829_s4_A11...PacBio
BCM_Fam_BH11220	BCM_m84101_241007_135351_s1_A11...PacBio
BCM_Fam_BH11220	BCM_m84101_241007_155302_s2_A11...PacBio
BCM_Fam_BH11220	BCM_m84101_241007_175217_s3_A11...PacBio
BCM_Fam_BH11220	BCM_m84101_241007_195122_s4_A11...PacBio
BCM_Fam_BH3593	BCM_m84101_241014_161910_s1_A11...PacBio
BCM_Fam_BH9923	BCM_m84101_241014_181814_s2_A11...PacBio
BCM_Fam_BH9923	BCM_m84101_241014_201730_s3_A11...PacBio
BCM_Fam_BH9923	BCM_m84101_241014_221649_s4_A11...PacBio
BCM_Fam_BH5564	BCM_m84101_250208_235022_s1_A11...PacBio
BCM_Fam_BH5564	BCM_m84101_250209_014933_s2_A11...PacBio
BCM_Fam_BH5564	BCM_m84101_250209_034848_s3_A11...PacBio
BCM_Fam_BH5564	BCM_m84101_250209_054801_s4_A11...PacBio
BCM_Fam_BH16488	BCM_m84101_250210_194436_s1_A11...PacBio
BCM_Fam_BH16489	BCM_m84101_250210_214346_s2_A11...PacBio
BCM_Fam_BH16489	BCM_m84101_250210_234253_s3_A11...PacBio
BCM_Fam_BH16613	BCM_m84101_250211_014206_s4_A11...PacBio
BCM_Fam_BH16596	BCM_m84101_250213_182256_s1_A11...PacBio
BCM_Fam_BH17160	BCM_m84101_250215_175028_s1_A11...PacBio
BCM_Fam_BH17160	BCM_m84101_250215_194937_s2_A11...PacBio
BCM_Fam_BH17160	BCM_m84101_250215_214857_s3_A11...PacBio
BCM_Fam_BH16862	BCM_m84101_250215_234813_s4_A11...PacBio
BCM_Fam_BCM17318	BCM_m84101_250218_204618_s1_A11...PacBio
BCM_Fam_BCM17318	BCM_m84101_250218_224550_s2_A11...PacBio
BCM_Fam_BH16322	BCM_m84101_250219_004505_s3_A11...PacBio
BCM_Fam_BH16322	BCM_m84101_250219_024416_s4_A11...PacBio
